filter_key,context,category,description,baseline_trade_count,baseline_net_pnl,baseline_profit_factor,baseline_win_rate,baseline_expectancy,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,coverage,statistical_test,statistically_meaningful,expectancy_lift,expectancy_lift_ci_low,expectancy_lift_ci_high,p_value_approx
pe:min_directional_confidence_0.4645,pe,minimum_confidence,pe require directional confidence >= 0.4645,33346,-1073945.9999999942,0.786386146146673,0.40541594194206204,-32.20614166616668,7674,387835.8750000063,1.350584675587767,0.5341412561897315,50.53894644253405,-67011.75000000006,364.50118931446787,-309.4418181818174,0.23013254963114016,approx_welch_expectancy_lift_95ci,True,82.74508810870073,72.16603598899297,93.32414022840848,4.7953534407102395e-53
pe:min_confidence_0.4519,pe,minimum_confidence,pe require quality confidence >= 0.4519,33346,-1073945.9999999942,0.786386146146673,0.40541594194206204,-32.20614166616668,7714,320212.12500000466,1.2919258926501922,0.5280010370754472,41.51051659320776,-65610.74999999895,347.9271728455686,-301.262084592144,0.23133209380435435,approx_welch_expectancy_lift_95ci,True,73.71665825937444,63.616556157249576,83.8167603614993,2.028598121943386e-46
all:min_confidence_0.4358,all,minimum_confidence,all require quality confidence >= 0.4358,66692,-2768119.124999993,0.732180664039045,0.39701913272956274,-41.5060145894559,18447,531238.500000006,1.1900046366605768,0.514446793516561,28.79809725158595,-142487.99999999895,350.5966675447841,-312.1495897063744,0.2765998920410244,approx_welch_expectancy_lift_95ci,True,70.30411184104184,63.559153527032706,77.04907015505098,9.145188022636535e-93
ce:min_confidence_0.4358,ce,minimum_confidence,ce require quality confidence >= 0.4358,33346,-1694173.1249999993,0.6808420528820256,0.3886223235170635,-50.80588751274514,10731,210078.0000000015,1.1236459450469833,0.5046128040257198,19.5767402851553,-144830.62499999706,352.5589335180056,-319.60658860045123,0.3218077130690338,approx_welch_expectancy_lift_95ci,True,70.38262779790044,61.3223939257408,79.44286167006008,2.381661723494554e-52
all:min_directional_confidence_0.4645,all,minimum_confidence,all require directional confidence >= 0.4645,66692,-2768119.124999993,0.732180664039045,0.39701913272956274,-41.5060145894559,16042,424159.87500000687,1.1650837588889449,0.5009350455055479,26.440585650168735,-73560.74999999761,372.51387506222056,-320.92950599550306,0.24053859533377317,approx_welch_expectancy_lift_95ci,True,67.94660023962464,60.5329405639953,75.36025991525399,3.762576595029488e-72
pe:min_directional_confidence_0.4607,pe,minimum_confidence,pe require directional confidence >= 0.4607,33346,-1073945.9999999942,0.786386146146673,0.40541594194206204,-32.20614166616668,14357,361577.2500000106,1.1727650077243914,0.5013582224698753,25.18473566901237,-119569.87499999703,340.9922200611289,-292.3431694370716,0.43054639237089903,approx_welch_expectancy_lift_95ci,True,57.39087733517905,49.65650329935564,65.12525137100246,6.407163363357986e-48
pe:min_directional_confidence_0.4468,pe,minimum_confidence,pe require directional confidence >= 0.4468,33346,-1073945.9999999942,0.786386146146673,0.40541594194206204,-32.20614166616668,16846,263482.1250000092,1.1058606109887494,0.4878309390953342,15.640634275199407,-140243.249999997,334.9276587977617,-288.47396557719003,0.5051880285491513,approx_welch_expectancy_lift_95ci,True,47.84677594136609,40.645549326550096,55.048002556182084,9.085483446091417e-39
ce:min_directional_confidence_0.4699,ce,minimum_confidence,ce require directional confidence >= 0.4699,33346,-1694173.1249999993,0.6808420528820256,0.3886223235170635,-50.80588751274514,6921,102700.50000000045,1.085047287655834,0.48157780667533595,14.838968357173885,-98642.25000000025,393.12027452745286,-336.5577968227425,0.20755113057038324,approx_welch_expectancy_lift_95ci,False,65.64485586991903,54.11881551475618,77.17089622508188,6.194475608364909e-29
ce:min_confidence_0.4077,ce,minimum_confidence,ce require quality confidence >= 0.4077,33346,-1694173.1249999993,0.6808420528820256,0.3886223235170635,-50.80588751274514,14789,97108.87500000102,1.042200486901744,0.48745689363716277,6.566290824261344,-231001.4999999964,332.6731169371619,-303.57937005277034,0.4435014694416122,approx_welch_expectancy_lift_95ci,False,57.37217833700648,49.70926774361173,65.03508893040123,9.388929991828565e-49
all:min_directional_confidence_0.4468,all,minimum_confidence,all require directional confidence >= 0.4468,66692,-2768119.124999993,0.732180664039045,0.39701913272956274,-41.5060145894559,25395,300295.8750000092,1.0754367203642587,0.4819846426461902,11.825000000000362,-110355.37499999645,349.7598958333338,-302.6047320410488,0.38078030348467584,approx_welch_expectancy_lift_95ci,False,53.33101458945626,47.50597635467671,59.15605282423581,5.275822227972022e-72
